날짜,실거래가,아파트거래현황,다우존스,동행종합지수 (2015=100),생산자물가,나스닥,소비자물가,지가변동률,코스피
200701,398.9,4386,"12,621.69",81,86.54,"2,463.90",75.814,0.517,"1,360.23"
200702,414.7,3759,"12,268.63",81.4,86.59,"2,416.10",76.256,0.462,"1,417.34"
200703,410.2,5463,"12,354.35",81.7,86.96,"2,421.60",76.699,0.402,"1,452.55"
200704,421.8,4445,"13,062.91",82.2,87.57,"2,525.10",77.068,0.347,"1,542.24"
200705,465,3608,"13,627.64",82.6,88.06,"2,604.50",77.141,0.342,"1,700.91"
200706,486,5000,"13,408.62",83.1,88.24,"2,603.20",77.141,0.378,"1,743.60"
200707,454.8,5766,"13,211.99",83.4,88.35,"2,545.60",77.362,0.405,"1,933.27"
200708,445,4890,"13,357.74",83.8,88.3,"2,596.40",77.436,0.474,"1,873.24"
200709,463,4471,"13,895.63",84.1,88.72,"2,701.50",77.878,0.515,"1,946.48"
200710,470,6564,"13,930.01",85,88.9,"2,859.10",77.953,0.605,"2,064.85"
200711,483.2,5411,"13,371.72",85.4,89.27,"2,661.00",78.026,0.656,"1,906.00"
200712,492.7,5248,"13,264.82",86,89.63,"2,652.30",78.248,0.627,"1,897.13"
200801,478.2,5869,"12,650.36",86.1,90.13,"2,389.90",78.69,0.532,"1,624.68"
200802,486.6,6712,"12,266.39",86.8,90.97,"2,271.50",78.912,0.591,"1,711.62"
200803,502.5,10722,"12,262.89",87.5,92.15,"2,279.10",79.428,0.703,"1,703.99"
200804,532.5,9202,"12,820.13",88,94.11,"2,412.80",79.796,0.777,"1,825.47"
200805,552.9,7437,"12,638.32",88.1,96,"2,522.70",80.313,0.715,"1,852.02"
200806,557.7,5619,"11,350.01",88,97.54,"2,293.00",80.681,0.664,"1,674.92"
200807,558.7,3302,"11,378.02",88,99.44,"2,325.60",81.197,0.597,"1,594.67"
200808,566.5,2386,"11,543.55",87.7,99.16,"2,367.50",81.124,0.586,"1,474.24"
200809,573.6,1849,"10,850.66",87.2,98.75,"2,091.90",81.345,0.398,"1,448.06"
200810,557.9,1519,"9,325.01",86.5,98.49,"1,720.90",81.419,-0.484,"1,113.06"
200811,618.2,1163,"8,829.04",84.5,96.2,"1,535.60",81.272,-2.721,"1,076.07"
200812,627.4,1523,"8,776.39",82.1,94.58,"1,577.00",81.419,-3.487,"1,124.47"
200901,662.2,3778,"8,000.86",79.5,94.31,"1,476.40",81.64,-0.914,"1,162.11"
200902,624.2,4898,"7,062.93",78.6,94.95,"1,377.80",82.008,-0.437,"1,063.03"
200903,642,5382,"7,608.92",78.7,95.4,"1,528.60",82.525,-0.033,"1,206.26"
200904,637.4,8306,"8,168.12",80.1,95.51,"1,717.30",82.746,0.209,"1,369.36"
200905,621.3,7009,"8,500.33",81.6,94.78,"1,774.30",82.746,0.204,"1,395.89"
200906,655.7,8965,"8,447.00",83.3,94.53,"1,835.00",82.746,0.263,"1,390.07"
200907,635.9,7862,"9,171.61",84.3,95.61,"1,978.50",83.041,0.276,"1,557.29"
200908,650,9546,"9,496.28",85.8,96.16,"2,009.10",83.262,0.631,"1,591.85"
200909,614.5,7187,"9,712.28",87.4,96.25,"2,122.40",83.337,0.387,"1,673.14"
200910,588.7,3761,"9,712.73",88.6,95.48,"2,045.10",83.188,0.299,"1,580.69"
200911,607.2,3078,"10,344.84",89.4,95.81,"2,144.60",83.262,0.242,"1,555.60"
200912,658.9,3895,"10,428.05",89.7,96.29,"2,269.10",83.557,0.269,"1,682.77"
201001,681.5,4884,"10,067.33",90,96.71,"2,147.40",84.055,0.247,"1,602.43"
201002,619,3812,"10,325.26",90.8,96.88,"2,238.30",84.225,0.259,"1,594.58"
201003,586.2,3978,"10,856.63",91.2,97.33,"2,398.00",84.566,0.21,"1,692.85"
201004,566.7,2623,"11,008.61",91.8,98.04,"2,461.20",84.906,0.052,"1,741.56"
201005,588.3,2131,"10,136.63",92.3,98.87,"2,257.00",84.906,0.004,"1,641.25"
201006,598.4,2151,"9,774.02",92.9,98.98,"2,109.20",84.736,-0.032,"1,698.29"
201007,593.9,2202,"10,465.94",93.2,99.23,"2,254.70",84.991,-0.065,"1,759.33"
201008,599,2331,"10,014.72",92.6,99.53,"2,114.00",85.417,-0.053,"1,742.75"
201009,583.6,2812,"10,788.05",92.8,100.1,"2,368.60",86.183,-0.134,"1,872.81"
201010,602.2,4906,"11,118.49",93.2,100.47,"2,507.40",86.183,-0.133,"1,882.95"
201011,644.2,6197,"11,006.02",94.2,100.82,"2,498.20",85.758,0.02,"1,904.63"
201012,647.8,6487,"11,577.51",95.1,101.75,"2,652.90",86.013,0.153,"2,051.00"
201101,611.7,7179,"11,891.93",96.7,103.32,"2,700.10",86.95,0.122,"2,069.73"
201102,584.2,6026,"12,226.34",97.5,104.09,"2,782.30",87.461,0.122,"1,939.30"
201103,566.7,5419,"12,319.73",98.1,105.34,"2,781.10",87.801,0.154,"2,106.70"
201104,570.9,4028,"12,810.54",98,105.99,"2,873.50",87.886,0.116,"2,192.36"
201105,573.6,3836,"12,569.79",98.9,106.31,"2,835.30",88.057,0.088,"2,142.47"
201106,576.8,3687,"12,414.34",99.7,106.07,"2,773.50",88.227,0.074,"2,100.69"
201107,614.5,4319,"12,143.24",100.6,106.21,"2,756.40",88.654,0.067,"2,133.21"
201108,571.5,4711,"11,613.53",101.7,106.35,"2,579.50",89.25,0.052,"1,880.11"
201109,577.3,4178,"10,913.38",102,106.43,"2,415.40",89.164,0.049,"1,769.65"
201110,592.3,4027,"11,955.01",102.5,106.33,"2,684.40",89.079,0.043,"1,909.03"
201111,588.1,3519,"12,045.68",102,105.99,"2,620.30",89.079,0.037,"1,847.51"
201112,609.5,3712,"12,217.56",102,106.09,"2,605.10",89.335,0.038,"1,825.74"
201201,575.7,2786,"12,632.91",101.9,106.64,"2,813.80",89.829,0.031,"1,955.79"
201202,570.6,3948,"12,952.07",102,107.37,"2,966.90",90.203,0.045,"2,030.25"
201203,564.7,4077,"13,212.04",102.3,107.9,"3,091.60",90.322,0.098,"2,014.04"
201204,583.4,3415,"13,213.63",102,107.95,"3,046.40",90.356,0.104,"1,981.99"
201205,592.9,3489,"12,393.45",102.1,107.35,"2,827.30",90.45,0.094,"1,843.47"
201206,557.2,2577,"12,880.09",101.6,106.05,"2,935.10",90.356,0.058,"1,854.01"
201207,548.9,2149,"13,008.68",101.7,105.58,"2,939.50",90.305,-0.032,"1,881.99"
201208,534.8,2223,"13,090.84",100.9,106.23,"3,067.00",90.842,-0.057,"1,905.12"
201209,563.4,3388,"13,437.13",101.1,106.61,"3,116.20",91.455,-0.055,"1,996.21"
201210,571.5,4918,"13,096.46",100.5,105.78,"2,977.20",91.225,0.011,"1,912.06"
201211,574.1,4349,"13,025.58",100.6,105.05,"3,010.20",90.867,0.031,"1,932.90"
201212,575.4,3760,"13,104.14",100.2,104.79,"3,019.50",91.055,0.05,"1,997.05"
201301,577.2,3438,"13,860.58",100.6,104.96,"3,142.10",91.549,-0.058,"1,961.94"
201302,578.4,4491,"14,054.49",100.8,105.68,"3,160.20",91.804,0.055,"2,026.49"
201303,563.3,6566,"14,578.54",100.8,105.26,"3,267.50",91.719,0.105,"2,004.89"
201304,567.9,6718,"14,839.80",101,104.93,"3,328.80",91.702,0.157,"1,963.95"
201305,553.7,6353,"15,115.57",101.2,104.57,"3,455.90",91.702,0.152,"2,001.05"
201306,546.2,5135,"14,909.60",101.3,104.55,"3,403.30",91.566,0.097,"1,863.32"
201307,507.8,3315,"15,499.54",101.1,104.53,"3,626.40",91.745,-0.039,"1,914.03"
201308,533.8,5323,"14,810.31",100.6,104.82,"3,589.90",92.076,-0.026,"1,926.36"
201309,534.9,7288,"15,129.67",100.5,104.71,"3,771.50",92.29,0.145,"1,996.96"
201310,546.5,7739,"15,545.75",100.7,104.34,"3,919.70",92.051,0.21,"2,030.09"
201311,569.3,5282,"16,086.41",101.5,104.13,"4,059.90",92.042,0.213,"2,044.87"
201312,603.9,6562,"16,576.66",102.1,104.37,"4,176.60",92.179,0.189,"2,011.34"
201401,588.9,7278,"15,698.85",102.3,104.65,"4,103.90",92.689,0.19,"1,941.15"
201402,576.6,8902,"16,321.71",101.7,104.78,"4,308.10",92.877,0.206,"1,979.99"
201403,548.8,8041,"16,457.66",100.8,104.74,"4,199.00",93.09,0.291,"1,985.61"
201404,553.4,5432,"16,580.84",101,104.58,"4,114.60",93.268,0.23,"1,961.79"
201405,558.3,4814,"16,717.17",101.4,104.56,"4,242.60",93.414,0.182,"1,994.96"
201406,567.6,5275,"16,826.60",101.7,104.61,"4,408.20",93.32,0.181,"2,002.21"
201407,583,6464,"16,563.30",101.9,104.69,"4,369.80",93.516,0.207,"2,076.12"
201408,593.3,8976,"17,098.45",101.8,104.58,"4,580.30",93.746,0.186,"2,068.54"
201409,583,9834,"17,042.90",101.8,104.2,"4,493.40",93.652,0.294,"2,020.09"
201410,580.3,8378,"17,390.52",101.3,103.47,"4,630.70",93.38,0.29,"1,964.43"
201411,567.6,5946,"17,828.24",100.9,103.15,"4,791.60",93.268,0.198,"1,980.78"
201412,589.2,6303,"17,823.07",100.6,102.14,"4,736.00",93.38,0.176,"1,915.59"
201501,585.2,9614,"17,164.95",100,100.89,"4,635.20",93.989,0.173,"1,949.26"
201502,589.2,9842,"18,132.70",100.1,100.96,"4,963.50",94.055,0.183,"1,985.80"
201503,590.8,15553,"17,776.12",99.8,100.84,"4,900.90",93.97,0.213,"2,041.03"
201504,601.2,11859,"17,840.52",100,100.8,"4,941.40",94.122,0.228,"2,127.17"
201505,608.9,10185,"18,010.68",100,100.87,"5,070.00",94.301,0.229,"2,114.80"
201506,599.6,10755,"17,619.51",100.1,100.82,"4,986.90",94.31,0.229,"2,074.20"
201507,604.7,11092,"17,689.86",99.7,100.45,"5,128.30",94.717,0.242,"2,030.16"
201508,595.2,8755,"16,528.03",99.3,99.83,"4,776.50",94.953,0.223,"1,941.49"
201509,616.5,9850,"16,284.70",99.7,99.39,"4,620.20",94.811,0.22,"1,962.81"
201510,644.6,10632,"17,663.54",100.4,98.71,"5,053.80",94.783,0.241,"2,029.47"
201511,666.8,7209,"17,719.92",100.7,98.32,"5,108.70",94.641,0.236,"1,991.97"
201512,627.6,4877,"17,425.03",100.1,98.09,"5,007.40",94.991,0.239,"1,961.31"
201601,616,5000,"16,466.30",100,97.56,"4,614.00",95.066,0.187,"1,912.06"
201602,614,5379,"16,516.50",100.3,97.56,"4,558.00",95.444,0.176,"1,916.66"
201603,639.2,8906,"17,685.09",101.2,97.5,"4,869.90",95.142,0.208,"1,995.85"
201604,682.4,10482,"17,773.64",100.9,97.74,"4,775.40",95.302,0.225,"1,994.15"
201605,689.8,10866,"17,787.20",100.4,97.86,"4,948.10",95.34,0.257,"1,983.40"
201606,677.1,13311,"17,929.99",99.6,98.09,"4,842.70",95.293,0.275,"1,970.35"
201607,657.6,11845,"18,432.24",100.3,97.98,"5,162.10",95.189,0.282,"2,016.19"
201608,687.3,11035,"18,400.88",100.9,98.07,"5,213.20",95.557,0.272,"2,034.65"
201609,692.4,11336,"18,308.15",101.4,98.3,"5,312.00",96.096,0.273,"2,043.63"
201610,688.5,12176,"18,142.42",101.2,98.59,"5,189.10",96.228,0.286,"2,008.19"
201611,649.1,5765,"19,123.58",101.3,99.03,"5,323.70",96.105,0.254,"1,983.48"
201612,666.6,4214,"19,762.60",101.8,99.9,"5,383.10",96.257,0.239,"2,026.46"
201701,694.4,3739,"19,864.09",102,101.35,"5,614.80",97.088,0.191,"2,067.57"
201702,710.1,5731,"20,812.24",101,101.74,"5,825.40",97.305,0.232,"2,091.64"
201703,716.1,8603,"20,663.22",100.7,101.7,"5,911.70",97.371,0.322,"2,160.23"
201704,752.1,9380,"20,940.51",100.5,101.48,"6,047.60",97.286,0.333,"2,205.44"
201705,786.9,14853,"21,008.65",101.1,101.21,"6,198.50",97.419,0.509,"2,347.38"
201706,723.7,12848,"21,349.63",101,100.81,"6,140.40",97.277,0.492,"2,391.79"
201707,767.2,14947,"21,891.12",101.3,100.89,"6,348.10",97.57,0.484,"2,402.71"
201708,704.2,5117,"21,948.10",101.7,101.35,"6,428.70",98.146,0.397,"2,363.19"
201709,796.6,6859,"22,405.09",101.9,102.03,"6,496.00",98.042,0.317,"2,394.47"
201710,806.9,6315,"23,377.24",101.3,102.14,"6,727.70",97.796,0.278,"2,523.43"
201711,865.7,8142,"24,272.35",101.1,102.04,"6,874.00",97.173,0.334,"2,476.37"
201712,865.7,8550,"24,719.22",101,102.09,"6,903.40",97.456,0.345,"2,467.49"
201801,849.6,12584,"26,149.39",101.1,102.52,"7,411.50",97.844,0.417,"2,566.46"
201802,766.1,9185,"25,029.20",101.3,102.95,"7,273.00",98.552,0.417,"2,427.36"
201803,742.3,9435,"24,103.11",101.1,102.91,"7,063.40",98.543,0.44,"2,445.85"
201804,743.8,4501,"24,163.15",101,103.04,"7,066.30",98.77,0.302,"2,515.38"
201805,748.8,4711,"24,415.84",100.5,103.34,"7,442.10",98.779,0.36,"2,423.01"
201806,757.7,5248,"24,271.41",100.7,103.37,"7,510.30",98.429,0.424,"2,326.13"
201807,863.2,7041,"25,415.19",100.6,103.85,"7,671.80",98.392,0.563,"2,295.26"
201808,881.5,15046,"25,964.82",100.8,104.32,"8,109.50",99.232,0.613,"2,322.88"
201809,867,7210,"26,458.31",100.1,104.62,"8,046.40",99.856,0.681,"2,343.07"
201810,821.3,3271,"25,115.76",99.9,104.26,"7,305.90",99.506,0.69,"2,029.69"
201811,829.3,1778,"25,538.46",99,103.53,"7,330.50",98.977,0.609,"2,096.86"
201812,812.7,1593,"23,327.46",98.4,103.03,"6,635.30",98.713,0.433,"2,041.04"
201901,815.7,1730,"24,999.67",97.6,102.92,"7,281.70",98.76,0.388,"2,204.85"
201902,844.1,1459,"25,916.00",96.5,103.02,"7,532.50",99.261,0.275,"2,195.44"
201903,889.1,2282,"25,928.68",96.5,103.38,"7,729.30",99.062,0.329,"2,140.67"
201904,983.8,3051,"26,592.91",97,103.68,"8,095.40",99.44,0.378,"2,203.59"
201905,1066.8,4415,"24,815.04",97.9,103.79,"7,453.10",99.487,0.445,"2,041.74"
201906,1100.2,6930,"26,599.96",98,103.5,"8,006.20",99.355,0.44,"2,130.62"
201907,1072.5,8838,"26,864.27",98,103.5,"8,175.40",99.11,0.484,"2,024.55"
201908,1022.8,6619,"26,403.28",97.3,103.74,"7,962.90",99.393,0.485,"1,967.79"
201909,1072.2,7032,"26,916.83",96.9,103.8,"7,999.30",99.733,0.491,"2,063.05"
201910,1064,11587,"27,046.23",96.1,103.56,"8,292.40",99.95,0.483,"2,083.48"
201911,1058.9,11509,"28,051.41",96,103.41,"8,665.50",99.421,0.489,"2,087.96"
201912,1011.5,9627,"28,538.44",96,103.7,"8,972.60",99.61,0.475,"2,197.67"
202001,903.2,6507,"28,256.03",96.5,104.08,"9,150.90",99.8,0.457,"2,119.01"
202002,934.9,8301,"25,409.36",95.6,103.74,"8,567.40",99.84,0.425,"1,987.01"
202003,912.1,4420,"21,917.16",94.3,102.82,"7,700.10",99.83,0.342,"1,754.64"
202004,947.7,3033,"24,345.72",92.3,101.93,"8,889.50",99.61,0.306,"1,947.56"
202005,1048.6,5594,"25,383.11",91.2,101.96,"9,489.90",99.65,0.336,"2,029.60"
202006,1116.2,15623,"25,812.88",90.8,102.48,"10,058.80",99.91,0.374,"2,108.33"
202007,1122,10665,"26,428.32",90.7,102.71,"10,745.30",99.74,0.428,"2,249.37"
202008,1211.3,4981,"28,430.05",91.2,103.22,"11,775.50",100.27,0.419,"2,326.17"
202009,1216.2,3776,"27,781.70",92.6,103.42,"11,167.50",100.7,0.398,"2,327.89"
202010,1203.4,4381,"26,501.60",93.5,103.01,"10,911.60",100.23,0.375,"2,267.15"
202011,1292.2,6367,"29,638.64",94.9,103.09,"12,198.70",100.14,0.405,"2,591.34"
202012,1351.7,7545,"30,606.48",94.5,103.9,"12,888.30",100.27,0.437,"2,873.47"
